Timestamp,Average_Difference,Total_Difference
1694951511.8205304,0,0.0
1694951522.3594685,0,0.0
1694951528.5043812,0,0.0
1694951531.7136755,0,0.0
1694951534.630815,0,0.0
1694951540.3256571,0,0.0
1694951556.3590019,0,0.0
1694951557.3979678,0,0.0
1694951559.881463,0,0.0
1694951562.0269406,0,0.0
1694951565.78589,0,0.0
1694951587.9136896,0,0.0
1694951598.0229392,0,0.0
1694951600.6036794,0,0.0
1694951602.2727418,0,0.0
1694951604.3893085,0.0014240741729736328,0.0014240741729736328
1694951621.8383644,0,0.0
1694951653.9222448,0,0.0
1694951655.4904659,0,0.0
1694951659.3768978,0,0.0
1694951666.5301082,0,0.0
1694951673.0632935,0,0.0
1694951680.0173028,0,0.0
1694951685.8300316,0,0.0
1694951706.452158,0,0.0
1694951706.5341916,0,0.0
1694951712.7894235,0,0.0
1694951719.9102945,0,0.0
1694951720.2435749,0,0.0
1694951724.5074608,0,0.0
1694951728.7190192,0,0.0
1694951736.0249913,0,0.0
1694951745.4182227,0,0.0
1694951755.462977,0,0.0
1694951757.5823145,0,0.0
1694951767.0725915,0,0.0
1694951772.9140615,0,0.0
1694951780.961858,0,0.0
1694951783.0760126,0,0.0
1694951785.219223,0,0.0
1694951785.3377285,0,0.0
1694951796.6315906,0,0.0
1694951797.6617067,0,0.0
1694951824.2218935,0,0.0
1694951833.761814,0.0743558406829834,0.0743558406829834
1694951838.4849596,0,0.0
1694951843.0249586,0,0.0
1694951847.1631966,0.09263348579406738,0.09263348579406738
1694951847.9650571,0,0.0
1694951859.0014727,0,0.0
1694951867.062404,0,0.0
1694951869.1415973,0,0.0
1694951872.4124746,0,0.0
1694951874.2119894,0,0.0
1694951885.4983063,0,0.0
1694951897.5831518,0,0.0
1694951900.4227293,0,0.0
1694951901.9364197,0,0.0
1694951908.8704581,0,0.0
1694951912.6988897,0,0.0
1694951951.0227776,0,0.0
1694951956.4174798,0,0.0
1694951967.8559613,0,0.0
1694951970.3563461,0,0.0
1694951974.2474096,0,0.0
1694951974.3903997,0.0010869503021240234,0.0010869503021240234
1694951977.9263656,0,0.0
1694951983.6017008,0,0.0
1694951988.9152267,0,0.0
1694951991.553751,0,0.0
1694952007.919373,0,0.0
1694952018.9089756,0.0008635520935058594,0.0008635520935058594
1694952020.110722,0,0.0
1694952023.1780994,0,0.0
1694952040.7257009,0,0.0
1694952043.0516663,0,0.0
1694952044.4006143,0,0.0
1694952048.6358688,0,0.0
1694952051.3364263,0.005415916442871094,0.005415916442871094
1694952053.2155657,0,0.0
1694952061.2453005,0,0.0
1694952062.9009986,0,0.0
1694952072.0649219,0,0.0
1694952072.91099,0,0.0
1694952075.9122157,0,0.0
1694952117.8024256,0,0.0
1694952122.8312716,0,0.0
1694952129.605373,0,0.0
1694952141.0582252,0,0.0
1694952145.9811347,0,0.0
1694952148.2379663,0,0.0
1694952150.2891214,0,0.0
1694952171.0749583,0,0.0
1694952189.2519045,0,0.0
1694952194.1589184,0,0.0
1694952194.5272653,0,0.0
1694952222.0296597,0,0.0
1694952229.217615,0,0.0
1694952229.8565376,0,0.0
1694952236.795919,0,0.0
1694952252.1808734,0,0.0
1694952259.569737,0,0.0
1694952259.8116767,0.014147520065307617,0.014147520065307617
1694952287.5969713,0,0.0
1694952288.2908304,0,0.0
1694952290.7100418,0,0.0
1694952293.1052918,0,0.0
1694952309.267402,0,0.0
1694952318.866596,0,0.0
1694952320.0554857,0,0.0
1694952337.1409798,0,0.0
1694952338.259978,0,0.0
1694952366.6569548,0.0020449161529541016,0.0020449161529541016
1694952379.4514,0,0.0
1694952384.3445234,0,0.0
1694952384.5394418,0,0.0
1694952398.0225103,0,0.0
1694952398.5796146,0,0.0
1694952400.5157616,0,0.0
1694952401.2710316,0,0.0
1694952407.8819046,0,0.0
1694952429.0586743,0,0.0
1694952433.605156,0,0.0
1694952457.2276907,0,0.0
1694952459.9668221,0,0.0
1694952470.976991,0,0.0
1694952471.850667,0,0.0
1694952497.6120374,0.06308174133300781,0.06308174133300781
1694952504.3300118,0,0.0
1694952510.0048268,0,0.0
1694952517.5463219,0,0.0
1694952522.4887147,0,0.0
1694952523.2183459,0,0.0
1694952534.722565,0,0.0
1694952545.0371885,0,0.0
1694952560.2281642,0,0.0
1694952560.3814113,0,0.0
1694952560.4955633,0,0.0
1694952578.2513936,0,0.0
1694952599.383163,0,0.0
1694952606.2915506,0.001964092254638672,0.001964092254638672
1694952610.6990876,0,0.0
1694952612.2194703,0,0.0
1694952612.6881404,0,0.0
1694952617.6808546,0,0.0
1694952632.5235567,0,0.0
1694952636.7444763,0,0.0
1694952637.4677172,0,0.0
1694952641.8617413,0,0.0
1694952643.8878791,0,0.0
1694952657.2826228,0,0.0
1694952668.2611408,0,0.0
1694952674.114359,0,0.0
1694952694.0202513,0,0.0
1694952695.4369776,0,0.0
1694952705.786609,0,0.0
1694952708.3319337,0,0.0
1694952711.2654223,0,0.0
1694952711.8616314,0,0.0
1694952718.3993077,0,0.0
1694952726.3072853,0,0.0
1694952737.105718,0,0.0
1694952747.3134053,0.0009298324584960938,0.0009298324584960938
1694952751.6444635,0,0.0
1694952761.2230108,0,0.0
1694952778.4986422,0,0.0
1694952786.2895122,0,0.0
1694952791.5175028,0,0.0
1694952792.3944874,0,0.0
1694952792.4188457,0,0.0
1694952798.959328,0,0.0
1694952800.732481,0,0.0
1694952807.9501002,0,0.0
1694952810.9819977,0,0.0
1694952813.9088671,0,0.0
1694952832.990103,0,0.0
1694952841.5109634,0,0.0
1694952842.6060221,0,0.0
1694952846.252536,0.003537416458129883,0.003537416458129883
1694952852.362208,0,0.0
1694952854.29195,0,0.0
1694952862.632068,0,0.0
1694952863.4094002,0,0.0
1694952869.5076003,0,0.0
1694952882.1652424,0,0.0
1694952883.111969,0,0.0
1694952884.6652489,0,0.0
1694952885.7960353,0,0.0
1694952887.6849575,0,0.0
1694952893.324227,0.000982522964477539,0.000982522964477539
1694952913.2650251,0,0.0
1694952917.8820498,0,0.0
1694952920.3947775,0,0.0
1694952923.6200225,0,0.0
1694952945.6306722,0,0.0
1694952963.149537,0,0.0
1694952966.0438914,0,0.0
1694952990.0434492,0,0.0
1694952997.4066174,0,0.0
1694952997.8821223,0,0.0
1694953021.6454747,0.08942651748657227,0.08942651748657227
1694953021.748126,0,0.0
1694953022.0239034,0,0.0
1694953036.5956268,0,0.0
1694953047.9341486,0,0.0
1694953055.528742,0,0.0
1694953055.9807756,0,0.0
1694953056.3133185,0,0.0
1694953066.972947,0,0.0
1694953070.9750762,0,0.0
